"SUB_TYPE","EVENT_MONTH","AMPLIFIED_SOUND_DISTRICT","EVENT_YEAR","CAPACITY","DECIBEL_LEVEL","END_HOURS_CONC_POUR_MON_SAT","END_HOURS_NEAR_HOME_FRI_SAT","END_HOURS_NEAR_HOME_SUN_THUR","END_HOURS_NOT_NEAR_HOME","EXISTING_ZONING","EXPIRATION_DATE","IN_DATE","ISSUE_DATE","ISSUED_BY","OMV_FRI_END_TIME","OMV_FRI_START_TIME","OMV_MON_END_TIME","OMV_MON_START_TIME","OMV_SAT_END_TIME","OMV_SAT_START_TIME","OMV_SUN_END_TIME","OMV_SUN_START_TIME","OMV_THU_END_TIME","OMV_THU_START_TIME","OMV_TUE_END_TIME","OMV_TUE_START_TIME","OMV_WED_END_TIME","OMV_WED_START_TIME","REST_51_PERCENT_FOOD_SALES","SQUARE_FOOTAGE","START_DATE","MULTIPLE_START_DATES","START_HOURS_CONC_POUR_MON_SAT","START_HOURS_NEAR_HOME_FRI_SAT","START_HOURS_NEAR_HOME_SUN_THUR","START_HOURS_NOT_NEAR_HOME","STATUS","STREET_ADDRESS","ZIPCODE","LATITUDE","LONGITUDE","COUNCIL_DISTRICT","time_diff","in_mon","issue_mon","in_year","issue_year"
"Concrete Pouring","JANUARY","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-01-19",2023-01-18,2023-01-18,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-01-19",FALSE,4,NA,NA,NA,"Expired","DAVIS ST","78701",30.26035802,-97.7385842,9,0,"January","January","2023","2023"
"Concrete Pouring","NOVEMBER","Unknown",2009,NA,NA,6,NA,NA,NA,"CBD","2009-12-03",2009-09-03,2009-09-03,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-30",FALSE,19,NA,NA,NA,"Expired","LAVACA ST","78701",30.26533402,-97.74664086,9,0,"September","September","2009","2009"
"Outdoor Music Venue",NA,"Residential",2019,NA,85,NA,NA,NA,NA,"TOD",NA,2019-07-08,2019-08-16,"Bryan Walker","00","10","22","10","00","10","22","10","22","10","22","10","22","10","No",2100,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78702",30.26202979,-97.72258671,3,39,"July","August","2019","2019"
"Concrete Pouring","DECEMBER","Unknown",2015,NA,NA,6,NA,NA,NA,"P","2015-12-25",2015-12-21,2015-12-21,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-12-22",FALSE,1,NA,NA,NA,"Expired","RED RIVER ST","78712",30.27643109,-97.73438129,9,0,"December","December","2015","2015"
"Government Amplified Sound","MAY","Other",2010,NA,85,NA,NA,NA,18,"MI","2010-05-31",2010-05-26,2010-05-26,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-05-31",FALSE,NA,NA,NA,13,"Expired","BURNET RD","78758",30.39397186,-97.72416959,7,0,"May","May","2010","2010"
"Outdoor Music Venue",NA,"Other",2016,169,85,NA,NA,NA,NA,"CBD",NA,2016-02-24,2016-03-15,"Viktor Auzenne","00","15","22","16","00","15","22","15","23","16","22","16","22","16","No",2600,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.26972876,-97.74935264,9,19.9583333333333,"February","March","2016","2016"
"Outdoor Music Venue",NA,"Residential",2017,NA,70,NA,NA,NA,NA,"CS",NA,2017-04-26,2017-08-28,"Bryan Walker","22","10","20","10","22","10","20","10","20","10","20","10","20","10","Yes",4895,NA,FALSE,NA,NA,NA,NA,"Expired","BARTON SPRINGS RD","78704",30.26208995,-97.76118798,9,124,"April","August","2017","2017"
"Concrete Pouring","NOVEMBER","Unknown",2009,NA,NA,6,NA,NA,NA,"CBD","2009-11-09",2009-09-03,2009-09-03,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-06",FALSE,19,NA,NA,NA,"Expired","LAVACA ST","78701",30.26533402,-97.74664086,9,0,"September","September","2009","2009"
"Concrete Pouring","OCTOBER","Unknown",2017,NA,NA,6,NA,NA,NA,"CBD","2017-10-06",2017-10-03,2017-10-03,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-04",FALSE,2,NA,NA,NA,"Expired","WEST AVE","78701",30.26775294,-97.75093592,9,0,"October","October","2017","2017"
"Outdoor Music Venue",NA,"Warehouse",2018,NA,80,NA,NA,NA,NA,"CBD",NA,2018-03-12,2019-03-07,"Bryan Walker","22","10","22","10","22","10","22","10","22","10","22","10","22","10","Yes",1,NA,FALSE,NA,NA,NA,NA,"Expired","CONGRESS AVE","78701",30.26373894,-97.74365146,9,360.041666666667,"March","March","2018","2019"
"Concrete Pouring","FEBRUARY","Unknown",2014,NA,NA,6,NA,NA,NA,"CBD","2014-02-14",2014-02-11,2014-02-11,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-12",FALSE,19,NA,NA,NA,"Expired","9TH ST","78701",30.26893285,-97.73556223,9,0,"February","February","2014","2014"
"Concrete Pouring","SEPTEMBER","Unknown",2019,NA,NA,6,NA,NA,NA,"CBD","2019-09-08",2019-09-06,2019-09-06,"Cierra Beltran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-07",FALSE,0,NA,NA,NA,"Expired","COLORADO ST","78701",30.26675694,-97.74451154,9,0,"September","September","2019","2019"
"Advertising Sound Amplification","NOVEMBER","Other",2012,NA,85,NA,NA,NA,0,"CBD","2012-11-17",2012-11-15,2012-11-16,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-11-17",FALSE,NA,NA,NA,16,"Expired","RAINEY ST","78701",30.2605376,-97.73780948,9,1,"November","November","2012","2012"
"Concrete Pouring","FEBRUARY","Unknown",2013,NA,NA,6,NA,NA,NA,"CBD","2013-02-02",2013-01-29,2013-01-29,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-02-01",FALSE,19,NA,NA,NA,"Expired","2ND ST","78701",30.26438581,-97.74340598,9,0,"January","January","2013","2013"
"Outdoor Music Venue",NA,"Other",2011,73,85,NA,NA,NA,NA,"CBD",NA,2011-07-26,2011-09-27,"Clara Hilling","00","10","22","10","00","10","22","10","23","10","22","10","22","10","No",1760,NA,FALSE,NA,NA,NA,NA,"Expired","SB IH 35 SVRD","78701",30.26002272,-97.73750966,9,63,"July","September","2011","2011"
"Outdoor Music Venue",NA,"Residential",2018,NA,80,NA,NA,NA,NA,"CS-1-NCCD-NP",NA,2018-08-24,2019-03-07,"Bryan Walker","00","10","22","10","00","10","22","10","22","10","22","10","22","10","No",19800,NA,FALSE,NA,NA,NA,NA,"Expired","11TH ST","78702",30.26914855,-97.72843983,1,195.041666666667,"August","March","2018","2019"
"Concrete Pouring","MARCH","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-03-23",2023-03-21,2023-03-21,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-03-23",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26165379,-97.73914502,9,0,"March","March","2023","2023"
"Concrete Pouring","AUGUST","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-08-31",2023-08-30,2023-08-31,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-31",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26001067,-97.74003826,9,1,"August","August","2023","2023"
