SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Government Amplified Sound,South Austin Museum of Popular Culture,8/11/2010,8/11/2010
Outdoor Music Venue,,7/11/2019,11/22/2019
Concrete Pouring,Capform Inc,1/31/2018,1/31/2018
Concrete Pouring,DPR Construction,7/17/2017,7/17/2017
Advertising Sound Amplification,High Beams Events,3/7/2012,
Concrete Pouring,"United Forming, Inc.",9/6/2016,
Concrete Pouring,DPR Construction,8/23/2013,8/23/2013
Private Sound Amplification,Cherrywood Coffee House,2/14/2024,3/15/2024
Outdoor Music Venue,Codependent Cocktails & Coffee,7/27/2023,10/17/2023
Private Sound Amplification,High Beams Events,3/11/2010,3/11/2010
Private Sound Amplification,Great Hills Country Club,8/31/2012,8/31/2012
Concrete Pouring,JE DUNN Construction,10/21/2019,10/21/2019
Concrete Pouring,JE Dunn Construction ***MAIN***,5/19/2020,5/19/2020
Outdoor Music Venue,Spider House,12/28/2015,3/7/2016
Concrete Pouring,"Balfour Beatty Construction, LLC",1/15/2015,1/15/2015
Private Sound Amplification,Stephen F Austin Royal Sonesta Hotel,3/13/2019,3/13/2019
Outdoor Music Venue,,2/17/2022,3/7/2022
Outdoor Music Venue,Star Bar,11/9/2012,12/31/2012
Outdoor Music Venue,,1/26/2012,3/5/2012
Concrete Pouring,Austin Commercial LP,3/24/2015,3/24/2015
Advertising Sound Amplification,Hotel San Jose,2/17/2016,3/10/2016
Concrete Pouring,Largo Concrete,1/14/2022,1/14/2022
Concrete Pouring,DPR Construction,10/9/2019,10/9/2019
Public Sound Amplification,"Cheer Up Charlies, LLC.",11/20/2009,11/20/2009
Concrete Pouring,Harvey-Cleary,6/10/2024,6/10/2024
Concrete Pouring,Baker Concrete Construction,11/12/2021,11/12/2021
Outdoor Music Venue,Rain on 4th,9/25/2015,10/21/2015
Advertising Sound Amplification,,6/2/2017,6/2/2017
Concrete Pouring,JE Dunn Construction,8/13/2015,8/13/2015
Concrete Pouring,JE Dunn,3/1/2023,3/1/2023
Advertising Sound Amplification,LU GROCERY CENTER LP A TEXAS LIMITED PARTNERSHIP,4/29/2010,4/29/2010
Concrete Pouring,DPR Construction,12/19/2019,12/19/2019
Outdoor Music Venue,The Contemporary Austin,8/23/2021,9/24/2021
Outdoor Music Venue,,7/30/2014,8/29/2014
Advertising Sound Amplification,Hotel Vegas,3/5/2014,3/10/2014
Advertising Sound Amplification,RightClark Production LLC,9/4/2015,9/4/2015
Concrete Pouring,Ryan Companies US INC,11/26/2019,12/2/2019
Outdoor Music Venue,,10/5/2023,2/20/2024
Outdoor Music Venue,ALLAN-THRASHER L L C,1/11/2011,3/31/2011
Concrete Pouring,Gilbane,3/9/2018,3/9/2018
Moving Vehicle,,10/24/2014,10/24/2014
Outdoor Music Venue,2905 Pearce Road LLC,4/9/2010,4/30/2010
Outdoor Music Venue,Jacoby Restaurant Group LLC,1/15/2016,3/2/2016
Moving Vehicle,,8/22/2014,8/22/2014
Public Sound Amplification,Nicholas Wingate,6/5/2009,6/5/2009
Concrete Pouring,,12/6/2021,12/6/2021
Concrete Pouring,Keystone Concrete Placement,7/30/2020,7/31/2020
Concrete Pouring,DPR Construction,9/10/2020,9/10/2020
Concrete Pouring,DPR Construction,1/31/2014,1/31/2014
Outdoor Music Venue,"LE BRIT, INC",2/6/2019,2/26/2019
Advertising Sound Amplification,The Liberty,1/26/2012,
Concrete Pouring,Keystone Concrete Placement,3/19/2024,3/19/2024
Concrete Pouring,McClone Construction Company,1/12/2021,1/20/2021
Concrete Pouring,"Balfour Beatty Construction, LLC",5/29/2015,5/29/2015
Outdoor Music Venue,Afshin Inc,2/10/2016,3/8/2016
Outdoor Music Venue,THE GINGER MAN,12/13/2011,
Concrete Pouring,DPR Construction,4/11/2023,4/11/2023
Concrete Pouring,Beck Commercial Construction LLC,3/2/2016,3/2/2016
Concrete Pouring,DPR Construction,7/25/2023,7/26/2023
Concrete Pouring,DPR Construction,2/28/2023,2/28/2023
Concrete Pouring,Gilbane,4/13/2018,4/13/2018
Concrete Pouring,JE Dunn Construction,7/16/2020,7/16/2020
Public Sound Amplification,Keep Austin Beautiful,4/3/2017,4/3/2017
Concrete Pouring,Austin Commercial,1/26/2018,1/26/2018
Government Amplified Sound,Downtown Austin Alliance,12/3/2009,12/3/2009
Concrete Pouring,Capform Inc,4/5/2013,4/5/2013
Outdoor Music Venue,,1/21/2020,2/18/2020
Concrete Pouring,SJL Const Of TX  LTD,1/8/2014,1/8/2014
Advertising Sound Amplification,Live Nation,1/25/2016,3/14/2016
Concrete Pouring,Capform Inc,6/6/2014,6/6/2014
Advertising Sound Amplification,Mugshots,2/16/2011,3/15/2011
Advertising Sound Amplification,"LMMM Austin 4 LTD., DBA LA MICHOACANA 4 AUSTIN",2/16/2011,2/16/2011
Outdoor Music Venue,Doc's Motorworks,2/17/2011,
Concrete Pouring,Largo Concrete,4/7/2020,4/7/2020
Advertising Sound Amplification,Urban Outfitters,2/25/2010,3/16/2010
Private Sound Amplification,,3/22/2022,3/25/2022
Outdoor Music Venue,Regina Thomas,9/22/2010,11/4/2010
Concrete Pouring,JE Dunn Construction,6/28/2021,6/28/2021
Outdoor Music Venue,Brazos Hall LLC,3/27/2018,5/11/2018
Outdoor Music Venue,,10/22/2021,1/10/2022
Concrete Pouring,W Hotels,9/3/2009,9/3/2009
Outdoor Music Venue,The Ranch 616,11/8/2024,12/27/2024
Government Amplified Sound,Red Licorice Events,12/11/2009,12/11/2009
Outdoor Music Venue,Cosmic Coffee and Beer Garden,2/11/2022,3/7/2022
Concrete Pouring,Capform Inc,11/5/2013,11/5/2013
Concrete Pouring,JE Dunn Construction,4/29/2022,5/2/2022
Private Sound Amplification,Digital Realty Trust,4/29/2015,4/30/2015
Advertising Sound Amplification,Bounce Events,9/7/2017,9/8/2017
Concrete Pouring,Rogers Obrien Const Co,9/17/2019,9/17/2019
Concrete Pouring,Capform Inc,7/18/2013,7/18/2013
Concrete Pouring,Beck Commercial Construction LLC,10/5/2015,10/5/2015
Advertising Sound Amplification,The Dog & Duck Pub,1/26/2012,3/8/2012
Outdoor Music Venue,Scoot Inn-Austin LLC,5/4/2015,6/21/2015
Outdoor Music Venue,Zed's Restaurants LP,7/29/2014,8/22/2014
Concrete Pouring,JE Dunn Construction,11/17/2020,11/17/2020
Concrete Pouring,DPR Construction,1/9/2023,1/9/2023
Advertising Sound Amplification,,8/9/2018,8/9/2018
Private Sound Amplification,,10/28/2016,10/28/2016
Outdoor Music Venue,401 E 6TH BAR LLC,9/29/2020,10/28/2020
Concrete Pouring,Capform Inc,5/12/2017,5/12/2017
Advertising Sound Amplification,C3 Presents,8/30/2013,11/1/2013
Advertising Sound Amplification,DEN Property Group,5/3/2017,5/4/2017
Concrete Pouring,Largo Concrete,6/9/2022,6/9/2022
Concrete Pouring,JE Dunn Construction,1/13/2022,1/13/2022
Concrete Pouring,Largo Concrete,3/7/2022,3/7/2022
Advertising Sound Amplification,Heard Ent Texas,9/11/2014,9/30/2014
Concrete Pouring,JE DUNN Construction,11/5/2019,11/5/2019
Concrete Pouring,JE Dunn Construction,2/16/2016,2/16/2016
Private Sound Amplification,Cream Vintage,2/25/2010,3/17/2010
Advertising Sound Amplification,Cheer Up Charlies LLC,3/5/2014,3/10/2014
Outdoor Music Venue,ACL Live,10/10/2014,10/31/2014
Concrete Pouring,Spawglass Contractors Inc,12/13/2022,12/13/2022
Concrete Pouring,Harvey-Cleary,7/18/2023,7/19/2023
Outdoor Music Venue,The Powder Room LLC,8/3/2015,9/5/2015
Outdoor Music Venue,,2/25/2014,3/25/2014
Outdoor Music Venue,Austin Java Holdings LLC,8/10/2010,
Outdoor Music Venue,Scoot Inn-Austin LLC,6/2/2014,6/20/2014
Concrete Pouring,JE Dunn,8/22/2023,8/23/2023
Concrete Pouring,Gilbane,1/31/2017,1/31/2017
Government Amplified Sound,Arthouse At The Jones Center,9/14/2011,9/14/2011
Public Sound Amplification,Cristo Rey Catholic Church,3/27/2015,3/27/2015
Outdoor Music Venue,,3/1/2018,
Outdoor Music Venue,Nook LLC,9/10/2018,9/25/2018
Concrete Pouring,Keystone Concrete Placement,1/16/2024,1/19/2024
Outdoor Music Venue,,12/30/2019,1/13/2020
Private Sound Amplification,,9/30/2021,10/14/2021
Concrete Pouring,DPR Construction,3/20/2023,3/20/2023
Outdoor Music Venue,Half Step Bar (Address is a half address),1/23/2024,2/20/2024
Concrete Pouring,United Forming Inc,9/22/2014,9/22/2014
Advertising Sound Amplification,Fueld Films,3/3/2015,3/17/2015
Outdoor Music Venue,Spider House,5/30/2012,12/5/2012
Outdoor Music Venue,STUBB'S AUSTIN RESTAURANT COMPANY LC,1/19/2010,2/18/2010
Concrete Pouring,Capform Inc,2/27/2024,2/27/2024
Concrete Pouring,JE Dunn,5/11/2023,5/11/2023
Outdoor Music Venue,,9/8/2015,10/30/2015
Advertising Sound Amplification,DNA Events Inc,3/5/2013,4/2/2013
Advertising Sound Amplification,G & S Lounge,1/31/2012,
Government Amplified Sound,Foundation Communities,8/28/2015,9/1/2015
Outdoor Music Venue,Circuit of the Americas,3/30/2018,5/26/2018
Concrete Pouring,Ryan Companies US INC,8/12/2019,8/12/2019
Outdoor Music Venue,Rain on 4th,11/28/2017,12/12/2017
Concrete Pouring,"Balfour Beatty Construction, LLC",3/2/2015,3/2/2015
Private Sound Amplification,Fresa's Dos LLC,8/9/2021,8/30/2021
Concrete Pouring,TAS Commercial Concrete Construction LLC,8/3/2020,8/3/2020
Advertising Sound Amplification,Hotel Vegas,5/22/2014,6/3/2014
Concrete Pouring,DPR Construction,11/3/2023,11/6/2023
Advertising Sound Amplification,,2/12/2014,3/11/2014
Concrete Pouring,Beck Commercial Construction LLC,3/10/2015,3/10/2015
Government Amplified Sound,Health Alliance for Austin Musicians,9/23/2013,9/23/2013
Outdoor Music Venue,,12/19/2022,3/7/2023
Concrete Pouring,Capform Inc,8/3/2017,8/3/2017
Moving Vehicle,CanWeNetwork LLC,1/16/2014,1/21/2014
Concrete Pouring,The Beck Group,3/7/2022,3/7/2022
Concrete Pouring,DPR Construction,1/30/2014,1/30/2014
Concrete Pouring,Spawglass Contractors Inc,9/13/2019,
Concrete Pouring,"United Forming, Inc.",3/24/2016,3/24/2016
Concrete Pouring,Balfour Beatty Construction,12/8/2015,12/8/2015
Concrete Pouring,JE Dunn Construction,7/30/2021,7/30/2021
Concrete Pouring,Beck Commercial Construction LLC,8/25/2016,8/25/2016
Concrete Pouring,,2/5/2018,2/5/2018
Concrete Pouring,Largo Concrete,9/10/2013,9/10/2013
Outdoor Music Venue,The Contemporary Austin,11/13/2013,1/21/2014
Moving Vehicle,,10/24/2014,10/24/2014
Outdoor Music Venue,Dustin Daniels,2/22/2016,3/13/2016
Government Amplified Sound,BILLY CANNON S,11/29/2010,11/29/2010
Outdoor Music Venue,Darwin's Pub,8/10/2015,
Outdoor Music Venue,Realhart LLC,12/19/2022,2/7/2023
Moving Vehicle,,8/22/2014,8/22/2014
Concrete Pouring,DPR Construction,9/11/2018,9/11/2018
Concrete Pouring,"United Forming, Inc.",2/14/2012,2/14/2012
Advertising Sound Amplification,Weirdo's,2/23/2012,
Concrete Pouring,DPR Construction,3/7/2019,3/7/2019
Concrete Pouring,W Hotels,9/3/2009,9/3/2009
Concrete Pouring,JE Dunn,3/7/2023,3/10/2023
Outdoor Music Venue,Elm Resturant Group,2/12/2015,4/14/2015
Concrete Pouring,DPR Construction,12/16/2024,12/16/2024
Outdoor Music Venue,RED 7,1/29/2015,3/11/2015
Outdoor Music Venue,,1/11/2017,3/8/2017
Concrete Pouring,DPR Construction,12/3/2013,12/3/2013
Concrete Pouring,JE Dunn,12/14/2022,12/14/2022
Outdoor Music Venue,,9/2/2016,9/16/2016
Concrete Pouring,JE Dunn,9/5/2023,9/5/2023
Concrete Pouring,DPR Construction,4/28/2023,5/1/2023
Advertising Sound Amplification,"C3 Presents, LLC  Shows Account",2/23/2012,
Outdoor Music Venue,Jo's Coffee,5/5/2015,5/28/2015
Concrete Pouring,JE Dunn Construction,9/1/2021,9/2/2021
Concrete Pouring,DPR Construction,3/27/2023,3/28/2023
Advertising Sound Amplification,TEST Bar Group LLC,2/20/2013,
Concrete Pouring,RSI Concrete,2/22/2022,2/22/2022
Outdoor Music Venue,"Inland Western Austin Southpark Meadows II, L.P.",5/18/2009,6/5/2009
Concrete Pouring,Harvey-Cleary,2/14/2023,2/14/2023
Outdoor Music Venue,,7/31/2012,
Concrete Pouring,DPR Construction,7/21/2020,7/21/2020
Outdoor Music Venue,,9/8/2022,10/4/2022
Advertising Sound Amplification,Hospira Inc,4/17/2015,4/22/2015
Outdoor Music Venue,Parlor & Yard LLC,11/9/2016,12/7/2016
Concrete Pouring,DPR Construction,6/23/2023,6/27/2023
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Outdoor Music Venue,,11/18/2021,12/17/2021
Outdoor Music Venue,,10/29/2015,12/31/2015
Outdoor Music Venue,Cedar Street Courtyard,2/26/2018,7/10/2018
Advertising Sound Amplification,,11/10/2016,
Concrete Pouring,Capform Inc,11/7/2017,11/7/2017
Concrete Pouring,TAS Commercial Concrete Construction LLC,11/16/2020,11/17/2020
Concrete Pouring,Capform Inc,11/16/2022,11/17/2022
Outdoor Music Venue,,2/28/2018,3/14/2018
Concrete Pouring,Capform Inc,10/12/2023,10/12/2023
Government Amplified Sound,Austin Gay and Lesbian Pride Foundation,5/24/2010,5/24/2010
Outdoor Music Venue,,7/19/2023,10/18/2023
Advertising Sound Amplification,COAT & THAI HALLOWEEN BASH,10/26/2011,10/26/2011
Outdoor Music Venue,EGLI ENTERPRISES LLC,5/31/2013,6/21/2013
Advertising Sound Amplification,High Beams Events,3/7/2016,3/8/2016
Advertising Sound Amplification,,1/5/2017,
Outdoor Music Venue,,11/23/2009,3/9/2010
Private Sound Amplification,High Beams Events,7/8/2009,7/8/2009
Outdoor Music Venue,,3/1/2018,7/20/2018
Outdoor Music Venue,,11/22/2019,1/31/2020
Concrete Pouring,SJL Const of TX LTD,5/9/2014,5/9/2014
Concrete Pouring,DPR Construction,9/1/2020,9/1/2020
Outdoor Music Venue,Kung Fu Saloon,1/10/2011,
Concrete Pouring,Gilbane,3/29/2018,3/29/2018
Concrete Pouring,Gilbane Building Company,10/25/2018,10/25/2018
Concrete Pouring,JE Dunn Construction,5/29/2015,5/29/2015
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Concrete Pouring,United Forming Inc.,5/3/2012,5/3/2012
Private Sound Amplification,Butler Creative LLC DBA The Butler Bros.,3/6/2012,3/6/2012
Concrete Pouring,JE Dunn Construction,9/1/2020,9/1/2020
Concrete Pouring,JE Dunn Construction,1/4/2021,1/4/2021
Outdoor Music Venue,Darwin's Pub,6/26/2013,7/15/2013
Concrete Pouring,Gilbane,5/17/2017,5/17/2017
Private Sound Amplification,The Electric Company,9/15/2014,10/2/2014
Concrete Pouring,Capform Inc,5/23/2013,5/23/2013
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Private Sound Amplification,,3/16/2021,4/2/2021
Moving Vehicle,,12/4/2014,12/4/2014
Outdoor Music Venue,Speakeasy,1/22/2015,2/27/2015
Advertising Sound Amplification,,2/27/2014,3/14/2014
Concrete Pouring,DPR Construction,5/8/2020,5/8/2020
Private Sound Amplification,Tiniest Bar in Texas,2/5/2018,
Advertising Sound Amplification,Hotel Vegas,10/17/2014,10/17/2014
Concrete Pouring,DPR Construction,2/20/2024,2/20/2024
Outdoor Music Venue,,3/2/2017,4/13/2017
Concrete Pouring,Largo Concrete,2/15/2022,2/15/2022
Outdoor Music Venue,Allan-Thrasher LLC,7/31/2018,
Advertising Sound Amplification,Waterloo Records & Video Inc,2/8/2017,3/9/2017
Advertising Sound Amplification,Bud's Motorcycle Shop,4/2/2014,4/2/2014
Outdoor Music Venue,ACL Live,4/5/2021,5/7/2021
Public Sound Amplification,TRAVIS COUNTY DEMOCRATIC PARTY,10/14/2010,10/14/2010
Outdoor Music Venue,,2/18/2014,3/7/2014
Concrete Pouring,Keystone Concrete Placement,7/13/2021,7/13/2021
Concrete Pouring,,2/26/2018,2/26/2018
Outdoor Music Venue,"Little Woodrow's Holdings, Inc., DBA LITTLE WOODROWS",11/10/2010,4/11/2011
Concrete Pouring,Baker Concrete Construction,2/18/2022,2/18/2022
Moving Vehicle,High Beam Events,3/13/2013,
Concrete Pouring,JE Dunn Construction ***MAIN***,4/10/2020,4/13/2020
Outdoor Music Venue,,12/23/2020,1/20/2021
Concrete Pouring,DPR Construction,9/16/2024,9/17/2024
Outdoor Music Venue,,2/15/2023,
Concrete Pouring,Capform Inc,5/12/2017,5/12/2017
Concrete Pouring,Austin Commercial,7/19/2017,7/19/2017
Concrete Pouring,Tribble & Stephens Construction,7/9/2014,7/9/2014
Concrete Pouring,Largo Concrete,1/3/2023,1/3/2023
Concrete Pouring,JE Dunn Construction,8/13/2015,8/13/2015
Public Sound Amplification,,11/21/2013,11/21/2013
Private Sound Amplification,Lustre Pearl,8/18/2011,8/18/2011
Concrete Pouring,McClone Construction Company,3/2/2021,3/2/2021
Concrete Pouring,DPR Construction,11/18/2020,11/18/2020
Advertising Sound Amplification,Waterloo Records & Vi,2/11/2019,3/7/2019
Concrete Pouring,Holder Construction Company,12/12/2019,12/13/2019
Private Sound Amplification,Hawkeye,9/21/2010,9/21/2010
Government Amplified Sound,Health Alliance For Austin Musicians,9/16/2010,9/16/2010
Concrete Pouring,Beck Commercial Construction LLC,7/29/2015,7/29/2015
Outdoor Music Venue,"Little Woodrow's Holdings, Inc., DBA LITTLE WOODROWS",8/27/2009,11/10/2009
Concrete Pouring,TAS Commercial Concrete Construction LLC,7/2/2021,7/2/2021
Advertising Sound Amplification,Hill Country Weavers LLC,3/5/2014,3/11/2014
Advertising Sound Amplification,Hotel San Jose,12/30/2014,3/13/2015
Advertising Sound Amplification,Cherrywood Coffee House,2/17/2015,3/17/2015
Concrete Pouring,JE Dunn Construction,6/21/2024,6/21/2024
Advertising Sound Amplification,,10/31/2012,11/1/2012
Private Sound Amplification,DW Studio Productions,5/26/2010,5/26/2010
Concrete Pouring,Rogers Obrien Const Co,2/7/2020,2/7/2020
Concrete Pouring,JE Dunn Construction,9/7/2021,9/7/2021
Concrete Pouring,Capform Inc,2/16/2023,2/16/2023
Advertising Sound Amplification,Zen Japanese Food,2/23/2012,
Concrete Pouring,JE Dunn,6/26/2023,6/26/2023
Private Sound Amplification,,4/24/2014,4/25/2014
Concrete Pouring,DPR Construction,10/9/2023,10/9/2023
Concrete Pouring,JE Dunn Construction,9/28/2021,9/28/2021
Advertising Sound Amplification,,2/26/2015,3/13/2015
Outdoor Music Venue,,8/4/2014,9/11/2014
Outdoor Music Venue,Austin Nightlife LLC,9/21/2022,5/23/2023
Outdoor Music Venue,,2/2/2018,3/14/2018
Advertising Sound Amplification,Duty Now For The Future,4/18/2017,4/18/2017
Government Amplified Sound,San Jose Catholic Church,9/29/2011,9/29/2011
Concrete Pouring,Capform,10/14/2013,10/14/2013
Advertising Sound Amplification,Rooftop on Sixth LLC,2/13/2015,
Concrete Pouring,Keystone Concrete Placement,3/25/2024,3/25/2024
Concrete Pouring,JE Dunn Construction Company,6/27/2013,6/27/2013
Concrete Pouring,Capform Inc,7/26/2017,7/26/2017
Moving Vehicle,High Beam Events,3/13/2013,
Advertising Sound Amplification,HEART OF TEXAS ROCKFEST,12/23/2015,2/24/2016
Concrete Pouring,The Beck Group,11/23/2021,
Concrete Pouring,DPR Construction,1/4/2023,1/4/2023
Concrete Pouring,DPR Construction,8/27/2020,8/27/2020
Concrete Pouring,United Forming Inc,5/28/2014,5/28/2014
Concrete Pouring,McClone Construction Company,3/2/2021,3/9/2021
Concrete Pouring,Beck Commercial Construction LLC,3/21/2016,3/21/2016
Concrete Pouring,Baker Concrete Construction,10/1/2021,10/1/2021
Concrete Pouring,JE Dunn Construction,6/1/2023,6/2/2023
Outdoor Music Venue,Spider House,1/21/2014,2/21/2014
Advertising Sound Amplification,Adelberts Brewery LLC,3/19/2012,3/19/2012
Concrete Pouring,"Balfour Beatty Construction, LLC",8/24/2015,8/24/2015
Concrete Pouring,JE Dunn Construction,2/25/2021,2/25/2021
Concrete Pouring,Hensel Phelps Construction,7/24/2020,7/27/2020
Concrete Pouring,DPR Construction,4/21/2023,4/21/2023
Government Amplified Sound,Health Alliance For Austin Musicians,9/17/2012,9/17/2012
Private Sound Amplification,Tiniest Bar in Texas,7/30/2010,7/30/2010
Private Sound Amplification,Duty Now For The Future,10/25/2019,
Concrete Pouring,DPR Construction,3/6/2018,3/6/2018
Outdoor Music Venue,,9/26/2016,12/4/2016
Advertising Sound Amplification,High Beam Events,2/13/2017,3/14/2017
Concrete Pouring,Capform Inc,11/10/2014,11/10/2014
Outdoor Music Venue,RED 7,2/19/2014,3/7/2014
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Concrete Pouring,TAS Commercial Concrete Construction LLC,4/6/2021,4/6/2021
Concrete Pouring,Austin Commercial,11/29/2017,11/29/2017
Outdoor Music Venue,Austin Java Holdings LLC,7/9/2009,8/11/2009
Concrete Pouring,"Greystar Development & Construction, LP",6/30/2022,6/30/2022
Concrete Pouring,Holder Construction Company,8/21/2019,8/21/2019
Outdoor Music Venue,,12/7/2020,1/26/2021
Concrete Pouring,Capform Inc,11/22/2023,11/22/2023
Advertising Sound Amplification,Sankara Eye Foundation,3/7/2017,3/7/2017
Concrete Pouring,Capform Inc,4/4/2018,4/6/2018
Outdoor Music Venue,"LE BRIT, INC",2/14/2020,
Concrete Pouring,TAS Commercial Concrete Construction LLC,8/20/2021,8/20/2021
Government Amplified Sound,Downtown Austin Alliance,11/30/2011,11/30/2011
Concrete Pouring,Gilbane,3/19/2018,3/19/2018
Advertising Sound Amplification,BeCore Inc,10/17/2014,10/17/2014
Advertising Sound Amplification,The Electric Company,3/10/2015,3/12/2015
Concrete Pouring,W Hotels,9/3/2009,9/3/2009
Concrete Pouring,JE Dunn Construction,7/15/2015,7/15/2015
Concrete Pouring,TAS Commercial Concrete Construction LLC,2/26/2021,2/26/2021
Outdoor Music Venue,,3/20/2014,4/29/2014
Concrete Pouring,DPR Construction,4/21/2014,4/21/2014
Concrete Pouring,Keystone Concrete Placement,10/27/2021,10/27/2021
Concrete Pouring,JE DUNN Construction,9/12/2019,
Outdoor Music Venue,NEW PINK AVOCADO LLC dba PINK AVOCADO,1/22/2015,2/25/2015
Concrete Pouring,JE Dunn Construction,2/10/2022,2/10/2022
Advertising Sound Amplification,HILL'S CAFE,4/7/2010,4/7/2010
Outdoor Music Venue,The Aquarium on east 6th,3/5/2018,4/24/2018
Outdoor Music Venue,Hotel SJ Tenant Inc,3/7/2022,5/9/2022
Concrete Pouring,DPR Construction,12/10/2020,12/10/2020
Advertising Sound Amplification,Surplus Holdings,2/4/2014,3/11/2014
Concrete Pouring,Keystone Concrete Placement,6/16/2023,6/16/2023
Outdoor Music Venue,"Fado Beverage Company, Inc. dba Fado Irish Pub",1/22/2010,3/16/2010
Concrete Pouring,Harvey-Cleary,11/29/2023,11/29/2023
Concrete Pouring,JE DUNN Construction,9/27/2019,9/27/2019
Advertising Sound Amplification,Ncompass International Inc,1/5/2015,3/16/2015
Concrete Pouring,TAS Commercial Concrete Construction LLC,8/18/2020,8/18/2020
Outdoor Music Venue,,2/25/2014,4/1/2014
Advertising Sound Amplification,Whole Foods Market,3/5/2013,4/2/2013
Concrete Pouring,JE Dunn Construction,3/5/2021,3/5/2021
Moving Vehicle,,12/4/2014,12/4/2014
Concrete Pouring,"United Forming, Inc.",3/9/2016,3/9/2016
Concrete Pouring,Harvey-Cleary,12/20/2022,12/27/2022
Concrete Pouring,Capform Inc,2/21/2017,2/21/2017
Outdoor Music Venue,KESHVARI KEIVAN & REGINA HOOTEN,1/14/2019,
Concrete Pouring,Tribble & Stephens Construction,5/22/2014,5/22/2014
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Advertising Sound Amplification,Chula League,11/18/2015,12/10/2015
Concrete Pouring,Burt-Watts,6/19/2014,6/19/2014
Moving Vehicle,,8/4/2014,8/5/2014
Advertising Sound Amplification,Transistor Studios,1/14/2017,3/9/2017
Private Sound Amplification,Whole Foods Market,4/25/2014,
Concrete Pouring,DPR Construction,10/15/2020,10/15/2020
Advertising Sound Amplification,Tiniest Bar in Texas,6/23/2010,
Concrete Pouring,JE Dunn Construction,9/20/2021,9/20/2021
Concrete Pouring,Hensel Phelps Construction,12/26/2019,12/26/2019
Outdoor Music Venue,,12/10/2021,1/20/2022
Concrete Pouring,W Hotels,9/3/2009,9/3/2009
Concrete Pouring,DPR Construction,9/5/2017,9/5/2017
Government Amplified Sound,South Austin Museum of Popular Culture,9/10/2010,9/10/2010
Concrete Pouring,Rogers Obrien Const Co,11/7/2019,11/7/2019
Outdoor Music Venue,Rooftop on Sixth LLC,11/4/2015,12/30/2015
Outdoor Music Venue,SKYBOX on 6TH,12/19/2022,2/7/2023
Concrete Pouring,Austin Commerical LP,9/14/2015,9/14/2015
Concrete Pouring,JE Dunn Construction,3/4/2022,3/4/2022
Concrete Pouring,Flintco,8/6/2019,8/6/2019
Outdoor Music Venue,Opa Coffee & Wine Bar,11/8/2024,
Outdoor Music Venue,LW Southpark Inc,1/30/2015,3/26/2015
Concrete Pouring,McClone Construction Company,10/26/2020,10/27/2020
Private Sound Amplification,Surplus Holdings,10/29/2013,11/12/2013
Concrete Pouring,W Hotels,5/29/2009,6/2/2009
Outdoor Music Venue,,3/4/2022,5/9/2022
Concrete Pouring,Beck Commercial Construction LLC,9/18/2015,9/18/2015
Concrete Pouring,The Beck Group,2/28/2022,3/1/2022
Outdoor Music Venue,Fresa's Dos LLC,9/30/2016,1/12/2017
Concrete Pouring,JE Dunn,12/28/2022,12/28/2022
Government Amplified Sound,Austin Pets Alive,2/15/2013,2/15/2013
Concrete Pouring,DPR Construction,12/2/2022,12/2/2022
Outdoor Music Venue,H-E-B,12/20/2022,2/7/2023
Concrete Pouring,JE Dunn,5/22/2023,5/22/2023
Private Sound Amplification,West's Wine Art and Music,3/18/2010,3/18/2010
Outdoor Music Venue,CUS Austin LLC,3/21/2014,8/25/2014
Private Sound Amplification,,10/30/2018,10/30/2018
Private Sound Amplification,Doc's Motorworks,4/8/2010,4/8/2010
Concrete Pouring,JE Dunn Construction,3/16/2021,3/17/2021
Concrete Pouring,JE Dunn,10/23/2023,
Concrete Pouring,Ryan Companies US INC,1/13/2020,1/14/2020
Concrete Pouring,Spawglass Contractors Inc,2/27/2023,2/27/2023
Concrete Pouring,Capform Inc,6/2/2023,6/2/2023
Government Amplified Sound,Solstice Austin/Dart Music International,6/19/2014,6/20/2014
Private Sound Amplification,47thriiifts,2/13/2018,3/14/2018
Concrete Pouring,Beck Commercial Construction LLC,5/20/2015,5/20/2015
Moving Vehicle,,10/27/2014,10/27/2014
Concrete Pouring,DPR Construction,3/21/2023,3/21/2023
Outdoor Music Venue,,9/19/2022,11/21/2022
Private Sound Amplification,Duty Now For The Future,10/5/2017,10/6/2017
Concrete Pouring,JE Dunn,6/5/2023,6/5/2023
Concrete Pouring,Capform,8/15/2013,8/15/2013
Concrete Pouring,Tribble & Stephens Construction,4/10/2014,4/10/2014
Concrete Pouring,Baker Concrete Construction,6/1/2022,6/1/2022
Concrete Pouring,Harvey-Cleary,2/20/2023,2/20/2023
Concrete Pouring,JE Dunn Construction,10/10/2023,10/10/2023
Outdoor Music Venue,,6/24/2019,7/13/2019
Outdoor Music Venue,The Aquarium on east 6th,2/11/2022,3/27/2022
Concrete Pouring,Largo Concrete,2/20/2023,2/21/2023
Advertising Sound Amplification,Aus-Tex Building Consultants,10/23/2014,10/23/2014
