SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Concrete Pouring,SJL Const of TX LTD,3/24/2014,3/24/2014
Concrete Pouring,Capform,8/1/2023,8/1/2023
Moving Vehicle,,3/5/2013,3/8/2013
Concrete Pouring,DPR Construction,4/5/2024,4/5/2024
Outdoor Music Venue,Rio Equity LLC,9/19/2016,2/9/2017
Government Amplified Sound,Partnership for Children,3/23/2010,3/23/2010
Concrete Pouring,JE Dunn Construction ***MAIN***,5/1/2020,5/1/2020
Private Sound Amplification,,11/7/2017,11/7/2017
Concrete Pouring,JE Dunn Construction,11/16/2023,11/16/2023
Concrete Pouring,JE Dunn,2/25/2019,
Concrete Pouring,Baker Concrete Construction,11/9/2021,11/9/2021
Concrete Pouring,JE Dunn,3/29/2023,3/30/2023
Concrete Pouring,Beck Commercial Construction LLC,5/10/2016,
Concrete Pouring,Capform Inc,10/30/2023,10/30/2023
Outdoor Music Venue,Tejano Rnch,4/1/2014,5/7/2014
Outdoor Music Venue,Split Level LLC,11/5/2018,12/31/2018
Concrete Pouring,Keystone Concrete Placement,7/20/2023,7/20/2023
Outdoor Music Venue,The Stage on Sixth Inc,1/31/2013,3/13/2013
Advertising Sound Amplification,COWBOY HARLEY-DAVIDSON OF AUSTIN,5/3/2011,6/6/2011
Concrete Pouring,DPR Construction,3/15/2024,3/20/2024
Outdoor Music Venue,The Wave,2/22/2010,3/16/2010
Outdoor Music Venue,,1/3/2019,3/7/2019
Concrete Pouring,DPR Construction,3/1/2021,3/1/2021
Moving Vehicle,Heroinside.org,2/21/2014,2/27/2014
Concrete Pouring,JE Dunn,10/13/2022,10/14/2022
Concrete Pouring,JE Dunn Construction,6/12/2024,6/12/2024
Concrete Pouring,Hensel Phelps Construction,3/2/2021,3/2/2021
Concrete Pouring,JE Dunn,1/25/2023,1/25/2023
Outdoor Music Venue,The Contemporary Austin,7/18/2024,9/4/2024
Outdoor Music Venue,,3/8/2016,5/17/2016
Concrete Pouring,"Greystar Development & Construction, LP",2/10/2022,2/10/2022
Concrete Pouring,JE Dunn Construction,4/2/2015,4/2/2015
Concrete Pouring,,12/15/2021,12/16/2021
Concrete Pouring,DPR Construction,9/11/2023,9/12/2023
Concrete Pouring,JE Dunn,10/10/2023,10/10/2023
Moving Vehicle,"CANWEMEET, LLC",3/12/2012,3/12/2012
Advertising Sound Amplification,Stretch Recipes Inc,12/4/2015,
Private Sound Amplification,IRIE BEAN LLC,8/25/2011,8/25/2011
Concrete Pouring,Austin Commercial,11/17/2017,11/17/2017
Concrete Pouring,"Greystar Development & Construction, LP",9/24/2021,9/27/2021
Advertising Sound Amplification,Revival Cycles Inc,3/26/2013,4/16/2013
Concrete Pouring,JE Dunn Construction,10/16/2023,10/16/2023
Concrete Pouring,JE Dunn Construction,12/11/2020,12/11/2020
Outdoor Music Venue,THE BLACKHEART LLC,1/25/2017,3/8/2017
Concrete Pouring,DPR Construction,8/14/2023,8/14/2023
Concrete Pouring,Harvey-Cleary,7/10/2023,7/10/2023
Concrete Pouring,Pravo Construction,5/9/2023,
Concrete Pouring,Largo Concrete,12/13/2013,12/13/2013
Public Sound Amplification,Nicholas Wingate,6/5/2009,6/5/2009
Concrete Pouring,Capform Inc,5/4/2017,5/4/2017
Outdoor Music Venue,Red Shed Tavern,3/14/2014,4/7/2014
Outdoor Music Venue,,4/18/2023,5/26/2023
Concrete Pouring,Gilbane,4/21/2017,4/21/2017
Outdoor Music Venue,Mueller Browning Hangar/Lake Park,3/7/2013,4/11/2013
Outdoor Music Venue,,5/6/2015,6/12/2015
Concrete Pouring,United Forming Inc,6/16/2014,6/16/2014
Advertising Sound Amplification,Doc's Motorworks,2/13/2013,3/29/2013
Concrete Pouring,DPR Construction,9/25/2018,9/25/2018
Advertising Sound Amplification,,5/16/2018,5/16/2018
Private Sound Amplification,Allen Boone Humphries Robinson LLP,5/24/2017,5/24/2017
Advertising Sound Amplification,,3/12/2014,3/12/2014
Outdoor Music Venue,The Rooftop on Sixth LLC,9/6/2024,12/27/2024
Outdoor Music Venue,Carmack Concepts,11/4/2014,12/3/2014
Concrete Pouring,Gilbane,9/21/2017,9/21/2017
Concrete Pouring,DPR Construction,4/26/2019,4/29/2019
Outdoor Music Venue,411 First Floor Inc.,12/6/2017,1/26/2018
Outdoor Music Venue,,1/11/2021,
Concrete Pouring,Hensel Phelps Construction,3/16/2020,3/18/2020
Concrete Pouring,Hensel Phelps Construction,1/3/2020,1/3/2020
Concrete Pouring,Gilbane,2/23/2018,2/23/2018
Concrete Pouring,,11/19/2021,11/19/2021
